<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
US1.AAPL;D;26.03.2021;0:00:00;120.3700000;121.4800000;118.9300000;121.1800000;4804540
US1.AAPL;D;29.03.2021;0:00:00;121.6500000;122.5750000;120.7300000;121.3700000;4086167
US1.AAPL;D;30.03.2021;0:00:00;120.0200000;120.4000000;118.8700000;119.9800000;4308777
US1.AAPL;D;31.03.2021;0:00:00;121.6500000;123.5200000;121.1600000;122.1500000;6099539
US1.AAPL;D;01.04.2021;0:00:00;123.6600000;124.1800000;122.5000000;122.9900000;3389968
US1.AAPL;D;05.04.2021;0:00:00;123.8700000;126.1600000;123.0800000;125.9000000;4350967
US1.AAPL;D;06.04.2021;0:00:00;126.5000000;127.1200000;125.6500000;126.2200000;3212886
US1.AAPL;D;07.04.2021;0:00:00;125.8300000;127.9200000;125.1500000;127.9100000;3661801
US1.AAPL;D;08.04.2021;0:00:00;128.9500000;130.3900000;128.5200000;130.3700000;4039123
US1.AAPL;D;09.04.2021;0:00:00;129.8700000;133.0000000;129.4700000;132.9900000;5028400
US1.AAPL;D;12.04.2021;0:00:00;132.5300000;132.8500000;130.6400000;131.2600000;3659862
US1.AAPL;D;13.04.2021;0:00:00;132.4400000;134.6600000;131.9300000;134.4000000;4112581
US1.AAPL;D;14.04.2021;0:00:00;134.9600000;135.0000000;131.6600000;132.1400000;3860187
US1.AAPL;D;15.04.2021;0:00:00;133.8200000;134.9900000;133.6600000;134.5000000;4186590
US1.AAPL;D;16.04.2021;0:00:00;134.3800000;134.6500000;133.2800000;134.1200000;3218935
US1.AAPL;D;19.04.2021;0:00:00;133.4900000;135.4700000;133.3400000;134.8600000;4171085
US1.AAPL;D;20.04.2021;0:00:00;135.0300000;135.5300000;131.8200000;133.1200000;4519360
US1.AAPL;D;21.04.2021;0:00:00;132.3700000;133.7400000;131.3100000;133.4900000;3121784
US1.AAPL;D;22.04.2021;0:00:00;133.0000000;134.1500000;131.4200000;131.9600000;4053263
US1.AAPL;D;23.04.2021;0:00:00;132.1600000;135.1200000;132.1600000;134.3000000;3829022
US1.AAPL;D;26.04.2021;0:00:00;134.8000000;135.0500000;133.5700000;134.7500000;2623209
US1.AAPL;D;27.04.2021;0:00:00;135.1100000;135.3700000;134.1100000;134.3900000;3002493
US1.AAPL;D;28.04.2021;0:00:00;134.2900000;135.0100000;133.0900000;133.8200000;4099098
US1.AAPL;D;29.04.2021;0:00:00;136.4500000;137.0700000;132.4700000;133.4800000;6328998
US1.AAPL;D;30.04.2021;0:00:00;131.8100000;133.5600000;131.0800000;131.5100000;4825291
US1.AAPL;D;03.05.2021;0:00:00;132.0300000;134.0600000;131.8300000;132.5500000;3766410
US1.AAPL;D;04.05.2021;0:00:00;131.1900000;131.4800000;126.7000000;127.9400000;6717098
US1.AAPL;D;05.05.2021;0:00:00;129.2300000;130.4400000;127.9700000;128.1500000;4182653
US1.AAPL;D;06.05.2021;0:00:00;127.8800000;129.7400000;127.1400000;129.7300000;4384111
US1.AAPL;D;07.05.2021;0:00:00;130.8500000;131.2500000;129.4800000;130.2000000;4482840
US1.AAPL;D;10.05.2021;0:00:00;129.4100000;129.5200000;126.8100000;126.8600000;4746816
US1.AAPL;D;11.05.2021;0:00:00;123.5000000;126.2700000;122.7800000;125.8500000;6041601
US1.AAPL;D;12.05.2021;0:00:00;123.5500000;124.6400000;122.2600000;122.8200000;6102106
US1.AAPL;D;13.05.2021;0:00:00;124.6600000;126.1400000;124.2700000;124.9400000;4755911
US1.AAPL;D;14.05.2021;0:00:00;126.2500000;127.8800000;125.8500000;127.4300000;4251744
US1.AAPL;D;17.05.2021;0:00:00;126.8500000;126.9200000;125.1700000;126.2500000;3450603
US1.AAPL;D;18.05.2021;0:00:00;126.5300000;126.9800000;124.7800000;124.8600000;3176784
US1.AAPL;D;19.05.2021;0:00:00;123.1600000;124.9000000;122.8700000;124.6900000;4724087
US1.AAPL;D;20.05.2021;0:00:00;125.2300000;127.7100000;125.1000000;127.3100000;3786141
US1.AAPL;D;21.05.2021;0:00:00;127.8300000;128.0000000;125.2200000;125.4300000;4012263
US1.AAPL;D;24.05.2021;0:00:00;126.0100000;127.9300000;125.9400000;127.1100000;3005147
US1.AAPL;D;25.05.2021;0:00:00;127.7400000;128.3200000;126.3250000;126.9200000;2674950
US1.AAPL;D;26.05.2021;0:00:00;126.9300000;127.3800000;126.4300000;126.8600000;2420373
US1.AAPL;D;27.05.2021;0:00:00;126.4700000;127.6300000;125.2800000;125.3300000;3796961
US1.AAPL;D;28.05.2021;0:00:00;125.5700000;125.7800000;124.5500000;124.7100000;3452808
US1.AAPL;D;01.06.2021;0:00:00;125.0800000;125.3500000;123.9400000;124.3000000;2708254
US1.AAPL;D;02.06.2021;0:00:00;124.2900000;125.2300000;124.0500000;125.0900000;2569184
