<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
ADR.ROSL;D;11/01/21;000000;7.9700000;8.0000000;7.8900000;7.8900000;4726
ADR.ROSL;D;12/01/21;000000;8.0400000;8.0400000;8.0400000;8.0400000;9863
ADR.ROSL;D;13/01/21;000000;8.0300000;8.0300000;8.0300000;8.0300000;1937
ADR.ROSL;D;14/01/21;000000;8.0200000;8.0300000;8.0000000;8.0000000;821
ADR.ROSL;D;15/01/21;000000;8.0000000;8.0000000;8.0000000;8.0000000;17
ADR.ROSL;D;18/01/21;000000;8.1600000;8.1600000;8.1600000;8.1600000;1
ADR.ROSL;D;19/01/21;000000;8.1300000;8.1500000;8.1300000;8.1300000;344
ADR.ROSL;D;20/01/21;000000;8.1600000;8.1600000;8.1600000;8.1600000;15
ADR.ROSL;D;21/01/21;000000;8.2700000;8.2700000;8.2700000;8.2700000;1
ADR.ROSL;D;25/01/21;000000;8.2800000;8.3000000;8.1300000;8.1300000;42189
ADR.ROSL;D;27/01/21;000000;8.2700000;8.2800000;8.2700000;8.2800000;1049
ADR.ROSL;D;28/01/21;000000;8.1800000;8.1800000;8.1700000;8.1800000;3542
ADR.ROSL;D;29/01/21;000000;8.0000000;8.0100000;7.9700000;7.9700000;5321
ADR.ROSL;D;01/02/21;000000;8.0100000;8.0700000;7.9700000;8.0200000;6211
ADR.ROSL;D;02/02/21;000000;8.0400000;8.1100000;8.0400000;8.0900000;150
ADR.ROSL;D;03/02/21;000000;8.0700000;8.1300000;8.0300000;8.1300000;1143
ADR.ROSL;D;04/02/21;000000;8.2500000;8.2500000;8.2500000;8.2500000;252
ADR.ROSL;D;05/02/21;000000;8.2600000;8.2900000;8.2600000;8.2800000;1248
ADR.ROSL;D;08/02/21;000000;8.4000000;8.4600000;8.3800000;8.3800000;1079
ADR.ROSL;D;09/02/21;000000;8.4600000;8.4600000;8.4000000;8.4300000;11145
ADR.ROSL;D;10/02/21;000000;8.4000000;8.4000000;8.4000000;8.4000000;190
ADR.ROSL;D;11/02/21;000000;8.4000000;8.4000000;8.4000000;8.4000000;1
ADR.ROSL;D;12/02/21;000000;8.3800000;8.3800000;8.3800000;8.3800000;26
ADR.ROSL;D;15/02/21;000000;8.5200000;8.5200000;8.5200000;8.5200000;301
ADR.ROSL;D;16/02/21;000000;8.5200000;8.5200000;8.5200000;8.5200000;1
ADR.ROSL;D;17/02/21;000000;8.4900000;8.5000000;8.4900000;8.5000000;184
ADR.ROSL;D;18/02/21;000000;8.4600000;8.5000000;8.4600000;8.5000000;2960
ADR.ROSL;D;19/02/21;000000;8.8400000;8.8400000;8.8100000;8.8400000;538
ADR.ROSL;D;22/02/21;000000;8.6600000;8.6800000;8.6600000;8.6800000;72
ADR.ROSL;D;23/02/21;000000;8.4500000;8.5800000;8.4100000;8.4100000;3620
ADR.ROSL;D;24/02/21;000000;8.7400000;8.7600000;8.7200000;8.7200000;3059
ADR.ROSL;D;25/02/21;000000;8.8500000;8.8500000;8.8000000;8.8100000;1436
ADR.ROSL;D;26/02/21;000000;8.7200000;8.7200000;8.6200000;8.6300000;11752
